"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|PL","Without Sequence","34.95","",""
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|PL","Without Sequence","34.67","",""
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|PL","Without Sequence","33.30","",""
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|PL","Without Sequence","31.91","",""
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|PL","Without Sequence","27.54","",""
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|PL","Without Sequence","26.62","",""
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|PL","Without Sequence","25.83","",""
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|PL","Without Sequence","26.02","",""
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|PL","Without Sequence","26.99","",""
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|PL","Without Sequence","31.40","",""
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|PL","Without Sequence","34.23","",""
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|PL","Without Sequence","35.04","",""
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|PL","Without Sequence","36.10","",""
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|PL","Without Sequence","36.66","",""
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|PL","Without Sequence","36.60","",""
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|PL","Without Sequence","33.26","",""
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|PL","Without Sequence","35.28","",""
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|PL","Without Sequence","36.79","",""
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|PL","Without Sequence","36.25","",""
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|PL","Without Sequence","37.67","",""
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|PL","Without Sequence","36.71","",""
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|PL","Without Sequence","36.78","",""
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|PL","Without Sequence","37.26","",""
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|PL","Without Sequence","35.30","",""
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|PL","Without Sequence","33.31","",""
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|PL","Without Sequence","30.71","",""
"02/01/2020 02:00:00 - 02/01/2020 03:00:00","BZN|PL","Without Sequence","28.10","",""
"02/01/2020 03:00:00 - 02/01/2020 04:00:00","BZN|PL","Without Sequence","28.14","",""
"02/01/2020 04:00:00 - 02/01/2020 05:00:00","BZN|PL","Without Sequence","28.78","",""
"02/01/2020 05:00:00 - 02/01/2020 06:00:00","BZN|PL","Without Sequence","33.76","",""
"02/01/2020 06:00:00 - 02/01/2020 07:00:00","BZN|PL","Without Sequence","36.97","",""
"02/01/2020 07:00:00 - 02/01/2020 08:00:00","BZN|PL","Without Sequence","41.14","",""
"02/01/2020 08:00:00 - 02/01/2020 09:00:00","BZN|PL","Without Sequence","42.13","",""
"02/01/2020 09:00:00 - 02/01/2020 10:00:00","BZN|PL","Without Sequence","42.58","",""
"02/01/2020 10:00:00 - 02/01/2020 11:00:00","BZN|PL","Without Sequence","40.92","",""
"02/01/2020 11:00:00 - 02/01/2020 12:00:00","BZN|PL","Without Sequence","41.62","",""
"02/01/2020 12:00:00 - 02/01/2020 13:00:00","BZN|PL","Without Sequence","42.97","",""
"02/01/2020 13:00:00 - 02/01/2020 14:00:00","BZN|PL","Without Sequence","43.46","",""
"02/01/2020 14:00:00 - 02/01/2020 15:00:00","BZN|PL","Without Sequence","43.55","",""
"02/01/2020 15:00:00 - 02/01/2020 16:00:00","BZN|PL","Without Sequence","43.59","",""
"02/01/2020 16:00:00 - 02/01/2020 17:00:00","BZN|PL","Without Sequence","46.06","",""
"02/01/2020 17:00:00 - 02/01/2020 18:00:00","BZN|PL","Without Sequence","45.81","",""
"02/01/2020 18:00:00 - 02/01/2020 19:00:00","BZN|PL","Without Sequence","43.94","",""
"02/01/2020 19:00:00 - 02/01/2020 20:00:00","BZN|PL","Without Sequence","44.02","",""
